This Year,Name,Image,Type,Edible,Description,Location,Sowing month,Indoor seed,Date sown,Outdoor seed,Planting out month,Planting out instruction,Sowing Instructions,Pruning month,Pruning Instructions,Harvest month,Flowering,Preferences,Soil Preference,Care Instructions,Common problems,Good for pollinators,Link to Useful Website,Archived
No,Broccoli Early purple sprouting,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9310.jpg,Vegetable,Yes,"Brassica oleraces
An easy to grow variety, producing lots of purple heads with an excellent flavour during late winter/early spring. The heads will turn green when cooked. Broccoli is high in Vitamin A and C and a good source of iron.",Seed pack,"April, March, May",Yes,,No,"April, June, May",hen the plants are 4-6 weeks old plant out in desired location. Harden off first. Harvest by snapping off the flowering shoots before the flowers open.,"Indoor Planting:
Sow seeds 1.5cm deep in trays of moist compost, be careful not to over-water.",,,"April, March",,,"Well drained, Wet","Keep the soil moist, and be careful not to over-water.",,No,,No
Yes,Brussels Sprout Brodie F1,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7301.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7302.jpg",Vegetable,Yes,"The mildest and sweetest Christmas sprout
• So tasty, with no bitterness, that even the kids will love them!
• Add bacon & chopped chestnuts for extra crunch and flavour
After years of trialling and tasting, has Thompson & Morgan found a replacement for our long-standing customer favourite 'Trafalgar? Very round, well spaced, 38mm buttons of mild flavour with a much reduced
mustard oil aftertaste. Later forming buttons into the New Year can be slightly larger (45mm), but maintain their perfect quality.",Seed pack,April,Yes,,No,,"GROWING INSTRUCTIONS: Transplant when large enough to handle into well prepared, firm soil allowing 75cm (30in) between plants each way. Plant firmly to
reduce risk of poor quality buttons and plants leaning over. Water until established. Earth up the soil around plants as necessary to increase stability. Remove yellowing leaves to improve air circulation and reduce disease risks. Pick lowest sprouts first and
work up the stem.","SOWING INSTRUCTIONS: Sow in individual pots or a seed compost and cover with 6mm (1/4in) of compost or vermiculite, at a minimum of 15C, until germination which usually takes around 7 days. Alternatively, can be sown thinly in a prepared seedbed 13mm deep, allowing 30cm between rows.",,,"December, February, January, November",,Full sun,,,,No,,No
Yes,Cabbage Cabbice F1,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7475.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7476.jpg","Annual, Vegetable",Yes,"A super sweet variety producing crunchy, round
heads approx. 2kg in size. The unique flavour lends
itself well to salads, as well as more traditional dishes.",Seed pack,"April, February, March",Yes,,No,," Transplant to final position
45cm a art. Firm in well","In trays of seed compost
Sow thinly, cover with a fine layer of
compost. Firm gently and keep moist
Cover with glass, polythene or propagator
lid. Keep at approx. 130C
Seedlings appear 7-21 days
Remove cover when seedlings appear
When large enough transplant 5cm apart
in trays. Stand outside for a few days to
acclimatise.",,,"August, July, June, May",,Part shade,Wet,"Avoid diseases such as club root by
rotating Brassica crops yearly",,No,,No
No,Cabbage Offenham (flower of spring),Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9304.jpg,Vegetable,Yes,"Brassica oleracea Capitata
A very popular and reliable variety with good flavour. The dark green heads are suitable for use as tasty 'greens' or as a 'hearted' spring cabbage.",Seed pack,"August, July",No,,No,,,"In a prepared seed bed. How Sow thinly in rows 25cm apart
Cover lightly with 1.5cm of fine soil. When 5-6 leaves have formed, transplant to final position 25cm apart for 'greens', or 45cm apart for hearted cabbages Firm in well and keep moist",,,"February, March",,,,,Avoid diseases such as club root by rotating crops yearly,No,,No
No,Cabbage Primo,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9306.jpg,Vegetable,Yes,"Brassica oleracea Capitata
Compact plants that produce very firm and dense medium sized ball-headed cabbages through the summer. Has an excellent, mild flavour.",Seed pack,"February, March",Yes,,No,,Transplant to final position with 45cm between plants and rows.,"In trays of moist compost
Sow thinly, cover with a fine layer of compost and firm gently. Keep at approx.
13°C and keep moist
Seedlings appear 7-21 days When large enough to handle transplant
5cm apart in trays of compost Gradually acclimatise to outside conditions",,,"August, July, October, September",,,,,,No,,No
Yes,Cabbage ruby ball F1,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7477.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7478.jpg",,,"Dense, solid, crunchy hearts
Sweet-flavoured, cooked or raw
Superb for long storage over winter
An early maturing, vigorous and uniform Red Cabbage with deep red, solid and compact heads. Their remarkable sweet flavour and high quality make them ideal for cooking as well as pickling.",,"April, May",Yes,,No,"June, May",,"Sow thinly in a well-prepared seedbed, 1 cm (1/2in)
deep, successionally, and plant out when large enough to handle allowing 38cm apart each way.
Alternatively seeds can be sown into containers under glass and transplanted into pots or trays when large enough to handle. These young plants can be
grown on in a cold frame until large enough for transplanting into their final positions.",,,"November, October, September",,Full sun,,,,No,,No
Yes,Calendula Art shades mix,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9270.jpg,"Annual, Flowers",Yes,"An easy to grow annual for bedding and borders. The large, frilled blooms come in unusual shades ranging through apricot, orange, primrose and cream. Long-flowering for four months of summer colour, also makes a good cut flower. The petals can be used as a substitute for saffron, and in a variety of dishes where they make a bright and zesty addition. Excellent for bedding and borders
Large frilly flowers in golden colours from summer to autumn Will grow in any well-drained soil in full sun ",Seed pack,"April, March, May",No,,Yes,,,"Sow outdoors where they are to flower. Prepare the ground well and rake to a fine tilth before sowing. Sow 12mm (½/in) deep, in rows 30cm (12in) apart. When large enough to handle, thin out seedlings to
23-30cm (9-12in) apart.
FOR SPRING/SUMMER FLOWERING POT PLANTS: Sow in a cool greenhouse or conservatory in late summer/early autumn. Grow on through winter in cool, frost-free conditions in full light and water sparingly.
",,,,"August, September",Full sun,Well drained,,,No,,No
Yes,Calendula Indian prince,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9325.jpg,"Annual, Flowers",Yes,Bold and eye-catching deep orange blooms with a rich mahogany red on the reverse of the petals. Long stems make it a perfect cut flower for indoor displays.,Seed pack,"April, August, June, March, May, September",No,,No,,,"Outdoor sowing Sow thinly in a prepared seed bed in flowering position, in rows 25cm (10in) apart. Cover lightly with 0.5cm (quarter inch) of fine soil, firm gently and keep moist. Seedlings usually appear in 7-21 days. Make 2-3 sowings for successive flowering.",,,,"August, July, June, May, October, September",Full sun,,When large enough thin to 23cm (9in) apart. Keep moist and weed free. Late sowings flower the following year.,,Yes,,No
No,Carrot Amsterdam Forcing,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9367.jpg,Vegetable,Yes,"Daucus carota
An excellent easy to grow variety producing small, tasty roots. Very quick to mature and ideal for forcing.",Seed pack,"April, August, July, June, March, May",No,,No,,,"Outdoor Planting:
Sow seeds thinly 1.5cm deep direct in growing beds in rows 12"" (30cm) apart. Keep the soil moist, and be careful not to over-water. When large enough to handle thin to 4"" (10cm) apart.
For early crops, sow in a cold frame or under cloches during February and March.",,,"August, July, June, November, October, September",,,,The carrots will be more tender and tasty if harvested before maturity.,,No,,No
No,Carrot Early Nantes,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9369.jpg,Vegetable,Yes,"Daucus carota
As its name suggests this is an early variety producing blunt ended carrots of excellent flavour. Ideal for freezing.",Seed pack,"April, March",No,,No,,,"Outdoor Planting:
Sow seeds thinly 1.5cm deep direct in growing bed in rows 12"" (30cm) apart. Keep the soil moist, and be careful not to over-water. When large enough to handle thin to 4"" (10cm) apart.
Ideal for successional sowing.",,,"July, June, May",,,,"The carrots will be more tender and tasty if harvested before maturity.
Keep well watered in dry conditions.",,No,,No
Yes,Carrot Flakker,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9354.jpg,Vegetable,Yes,"Late, vegetation period 200-220 days. The dry matter content is high, so it is excellent for storage. The root is 23 cm long, 5 cm wide with a pointed end.",Seed pack,"April, March",No,,No,,,,,,"October, September",,,,,,No,,No
No,Cauliflower,Our%20garden%2093e00b18daa6406bb774d7fac429385d/06BEF191-BBF2-4619-A94E-BBEACD43FD19.jpeg,Vegetable,Yes,,Seed pack,"February, January, March",Yes,,No,April,Stand outside for a few days early April (avoid frosts),"For indoor sowing
When: January to March
Where: In trays of seed compost
How: Sow thinly, cover with a fine layer of compost. Firm gently and keep moist
Keep at approx. 13°C
Seedlings appear 14-28 days",,,"August, July, June, October, September",,,,"Care
Transplant to further trays if necessary
Stand outside for a few days early April (avoid frosts). Transplant to final position with 60cm between plants and rows
Firm in well and keep moist
When approx. 10cm tall transplant to final position with 60cm between plants and rows. Firm in well, keep moist and weed free
Harvest June to October
Tip: Protect early and late (overwinter) sowings with cloches",,No,,No
Yes,Cauliflower Depurple F1,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7388.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7389.jpg","Annual, Vegetable",Yes,"Depurple retains its colour if steamed or lightly boiled,
and the tasty florets are also rich in antioxidants.",Seed pack,"April, March, May",Yes,,Yes,"June, May","Planting Out - Plant into the required harvest position
45cm apart with 45cm between each
row when plants have 3-4 true leaves.
October sowings can be overwintered
in a cold frame and planted out in
March for the earliest harvests.
Transplanting - When seedlings have produced
4 leaves, transplant them to their cropping position leaving 45cm between plants in rows 45cm apart.
Firm in and keep well watered in dry spells.","Sow Indoors-  Sow thinly, lcm deep in clean trays or
modules of firm, pre-watered compost.
Keep soil moist at all times.
Sow Outdoors - Sow thinly, lcm deep in a seed bed
or clean module trays of firm, pre-
watered compost. Keep soil moist at all
times. Thin to 10cm.",,,"August, July, October, September",,Part shade,Well drained,"Advice - Use netting to prevent damage from
Cabbage White Butterfly.",,No,,No
Yes,Cauliflower romanesco precoce,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7361.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7362.jpg","Annual, Vegetable",Yes,Sometimes referred to as broccoli this unusual vegetable has a distinctive sweet nutty taste and is widely favoured by restaurant chefs.,Seed pack,"April, July, June, May",No,,Yes,,"When approx 10 cm transplant to final position with 60cm between plants and rows. firm in well, keep moist and weed free","In trays of seed compost. Sow thinly, cover with a fine layer of
compost. Firm gently and keep moist. Keep at approx 13C. Seedlings appear 14-28 days",,,"August, July, October, September",,Full sun,"Well drained, Wet","Protect curds from direct sunlight by
folding in the leaves",,No,,No
No,Celery Green Sleeves,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9272.jpg,Vegetable,Yes,"Almost stringless pale green flesh, great crunch and flavour Easy to grow, stands well and is slow to bolt
•High in fibre",Seed pack,"April, March, May",Yes,,No,"June, May","Transplant seedlings 5cm (2"") apart to other trays when large enough to handle. (Always handle by a leaf, never by the stem.) Grow on in cooler, but not cold conditions.
Gradually accustom young plants to outside conditions (avoid frosts), before planting out 25cm (10"") apart. Allow 30cm (1) between rows. Water well","Sow indoors 0.5cm (½/4"") deep, in a tray of compost.
Water well and place in a cold frame, greenhouse or on a cool windowsill. A temperature of 15-20°C (60-68°F) is ideal. Keep moist. Seedlings usually appear in 14-21 days.",,,"August, November, October, September",,Full sun,Well drained,,,No,,No
Yes,Celery Tango f1,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7313.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7314.jpg","Annual, Vegetable",Yes,"Excellent for use in soups and salads
Early maturing to extend the harvest season
Low maintenance and easy-to-grow.
A self-blanching variety with beautiful apple-green, smooth stems with good flavour and texture for that all important celery crunch. Good bolting resistance and stands well during hot weather for reliable crops.","Seed pack, Seed tray - indoors","April, March",Yes,"February 24, 2024",No,,"Transplant when seedlings are large enough
to handle into modules or small pots of compost and maintain a minimum temperature of 15C. Harden off and plant outside in well-prepared soil once all frost risk has passed allowing 30cm (15in) between each plant.
Plant in block formation to assist with self-blanching. It is essential to keep well watered for succulently flavoured, string-free stems.",SOWING INSTRUCTIONS: sow thinly in seed trays or pots of good seed compost at 15-20C. Sow on the surface of the firmed compost and cover with a very fine layer of vermiculite.,,,"August, November, October, September",,Full sun,Wet,,,No,,No
Yes,Chamomile,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9321.jpg,"Flowers, Perennial",Yes,"CHAMAEMELUM NOBILE
Charming daisy like flowers over deliciously sweet smelling, fine foliage. Use flowers to make chamomile tea. Hardy perennial. Height up to 30cm.",Seed pack,"April, June, May",No,,No,,,"FOR OUTDOOR SOWING
Where In a prepared seed bed in a
When April to June sunny growing position How Sow thinly in rows 30cm apart, do not cover seeds.",,,"August, July, June, May, September",,,,"Keep moist Care When large enough to handle, thin
to 30cm apart Tip Cut back after flowering to promote new leaf growth To use as a tea, add 1 tsp of chopped fresh herbs per mug of boiled water, leave to brew for 3-5 minutes and strain",,No,,No
Yes,Chard Bright lights,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9300.jpg,Vegetable,Yes,"Beta vulgaris
Up to 7 different colour stems which can be picked as baby leaf or full size. Steam leaves and stems separately and get two dishes for the price of one!",Seed pack,"April, July, June, May",No,,No,,,"Sow Outdoor In a prepared seed bed
with 2.5cm fine soil. Firm gently and keep moist. Seedlings appear 14-28 days. For continuous crops sow every 2-3 weeks",,,"August, July, November, October, September",,,Wet,"When large enough thin to 15cm apart Keep well watered to prevent bolting and weed free. Pick individual stems as required. For baby leaves, thin to only 7.5cm apart and cut leaves when 5-10cm tall. They will regrow for several cuts July to November. Through winter if given cloche protection. Provide a liquid feed every two weeks to
increase yields",,No,,No
Yes,Chilli pepper dwarf purple (romania),Our%20garden%2093e00b18daa6406bb774d7fac429385d/Purple_chillies.png,"Annual, Vegetable",Yes,Chilli pepper dwarf turns red when ripen.,"Seed pack, Seed tray - indoors","April, February, January, March",Yes,"January 7, 2024",No,,,,,,"August, July, October, September",,Full sun,"Well drained, Wet",,,No,,No
Yes,Chilli Pepper Jalapeno M,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7327.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7322.jpg","Annual, Vegetable",Yes,"Mild and tasty flavour
Attractive bright green and red fruits
Widely known as the 'pizza pepper', this jalapeho is the most widely used
and popular selection. Dark green, turning bright red fruits are 8-10cm
long, thick-walled and slightly tapered with blunt ends. For use in a variety of
dishes - not just sliced on your favourite pizza!
","Seed pack, Seed tray - indoors","February, March",Yes,"January 7, 2024",No,June,"FOR INDOOR CROPS: Plant 2 plants per growbag or individually into 20cm 
pots or 2 litre pot. For optimum results grow under glass.
FOR OUTDOOR CROPS: Gradually acclimatise plants to outdoor conditions for 10-15 days before planting one plant per 20cm or 2 litre pot, or a larger
container on the patio. Plant in final position from early June when there is no
further risk of frost and protect from biting winds. Feed plants weekly with a high potash tomato fertiliser once first fruits have set.","Sow seed on the surface of a good, free-draining damp seed compost and cover with a fine sprinkling of compost or vermiculite. Place in a propagator or seal container in a polythene bag and keep at 25C until after germination which takes up to 14 days. Transplant seedlings when large enough to handle into 7.5cm (pots. Reduce temperature and maintain at 15C ",,,"August, July, October, September",,Full sun,"Well drained, Wet",,,No,,No
Yes,Chinese carnations,Our%20garden%2093e00b18daa6406bb774d7fac429385d/DIANTHUS_CHINENSIS_MIX.jpg,"Annual, Flowers",No,"A very variable species that is native to a vast area, from Europe into Asia. A short-lived herbaceous perennial, but plants bred from this species are often grown as annuals or biennials. Single flowers with fringed edges are typically pink, but can be white or red, often with a dark purple central ring or eye, held above green leaves",Seed pack,April,No,,No,,,"For best results, seeds are sown directly into the ground where required in the spring. Alternatively, sow in late winter/early spring in gentle warmth, 15-20 degrees C. Prick out into small 3 inch or 7 cm. pots and plant in final position when the plants are established.",,Deadhead regularly to prolong flowering. Lightly trim after flowering or in spring,,"August, July, June, May",Full sun,Well drained,Grow in a well-drained soil in a sunny position,May be susceptible to https://www.rhs.org.uk/disease/rust-diseases,No,,No
Yes,Chinese Lantern,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9295.jpg,"Flowers, Perennial",No,Physalis alkekengi,"Seed pack, Seed tray - indoors","February, July, June, March, May",No,"February 24, 2024",No,,"Indoor Planting:
Sow the seeds 0.5cm deep in trays of moist compost, be careful not to over-water. Store in a warm, light place not in direct sunlight at an approx. temperature of 15-20°c (60-70°f).
Growing On:
Spacing 24"" / 60cm
When the seedlings are strong enough to handle they can be transplanted into bigger pots or trays. ","Sow Indoors
A wonderful decorative plant, with beautiful bright orange lantern shaped flowers. Popular in winter flower arrangements. Hardy Perennial.
Sow Outdoors May - July
Outdoor Planting:
Sow seeds 0.5cm deep in flowering location, thin to above spacings.
Any well drained soil will do. Thrives in a sunny position.",,,,"August, July, October, September",Full sun,Well drained,"Do not overcrowd the plants and keep in a warm, light position. Once all chance of frost has passed the plants can be transplanted direct into your desired location. Harden off first.",,No,,No
Yes,Chives,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9498_(1).jpg,"Herb, Perennial",Yes,"Allium schoenoprasum
Can be grown in pots or even in the flower border. The mild onion flavour is ideal in salads or added to dairy sauces and all types of egg dishes.",Seed pack,"April, March, May",No,,Yes,,"Thin plants to further pots or trays if necessary. To grow outdoors, stand outside for a few days late in May (avoid frosts) plant out 20cm apart. To grow indoors, transplant to 15cm pots of compost, place in a light airy location. ","In pots or trays of moist compost. Sow thinly, cover lightly with compost and firm gently. Cover wirh clear glass, polythene or propagator lid. Keep at 15-20 degrees and keep moist. Seedlings appear 14-28 days. Remove cover when seedlings appear.",,,"August, July, June, May, November, October, September",,,,,,No,,No
